Sample ID	Pool ID	Hash
2380	A	Hashtag1
2267	A	Hashtag2
2283	A	Hashtag3
2293	A	Hashtag4
2428	B	Hashtag1
2251	B	Hashtag2
2467	B	Hashtag3
2497	B	Hashtag4
